"project_id","job_id","language","files","comment","code"
"40559","1462611","Shell Script","1","17","14"
"40559","1462611","Ignored","36","0","0"
"40634","1727721","JSON","10","0","7152"
"40634","1727721","C#","14","21","503"
"40634","1727721","Text","2","0","106"
"40634","1727721","PowerShell","1","10","91"
"40634","1727721",".Net Project File","2","0","85"
"40634","1727721","CSS","1","0","76"
"40634","1727721",".Net Solution File","1","0","37"
"40634","1727721","Markdown","2","0","17"
"40634","1727721","ASP.NET","1","0","16"
"40634","1727721","Ignored","2","0","0"
"34253","1727505","C#","880","4708","108747"
"34253","1727505","JSON","264","0","49871"
"34253","1727505","Razor C#","250","337","36232"
"34253","1727505","CSS","80","1014","26256"
"34253","1727505","JavaScript","56","4214","8341"
"34253","1727505",".Net Project File","33","154","6961"
"34253","1727505","ASP.NET","90","11","3594"
"34253","1727505","SQL","17","96","1729"
"34253","1727505","HTML","8","0","923"
"34253","1727505",".Net Solution File","5","0","900"
"34253","1727505","XML","8","0","710"
"34253","1727505","Text","66","0","503"
"34253","1727505",".Net Resource File","5","240","409"
"34253","1727505","Markdown","3","0","230"
"34253","1727505","XSLT","7","0","99"
"34253","1727505","XSD","1","1","53"
"34253","1727505","PowerShell","7","0","14"
"34253","1727505","Ignored","37","0","0"
"7505","1728221","HTML","59","1088","12640"
"7505","1728221","Java","41","2116","3127"
"7505","1728221","CSS","1","31","533"
"7505","1728221","DOS Batch","1","0","76"
"7505","1728221","JavaScript","1","0","29"
"7505","1728221","Groovy","2","21","29"
"7505","1728221","Markdown","1","0","6"
"7505","1728221","Properties","1","0","5"
"7505","1728221","Ignored","3","0","0"
"39160","1727854","CSS","4","7","100"
"39160","1727854","Markdown","1","0","70"
"39160","1727854","JSON","2","0","67"
"39160","1727854","C#","2","0","42"
"39160","1727854","HTML","1","0","33"
"39160","1727854",".Net Project File","1","0","13"
"39160","1727854","Ignored","12","0","0"
"34514","1727711","PHP","1462","7327","80445"
"34514","1727711","JSON","4","0","33349"
"34514","1727711","CSS","3","437","9650"
"34514","1727711","Vue","83","7","5446"
"34514","1727711","JavaScript","75","214","4860"
"34514","1727711","Markdown","12","0","957"
"34514","1727711","YAML","1","9","275"
"34514","1727711","Sass","4","8","120"
"34514","1727711","XML","3","0","95"
"34514","1727711","Text","3","0","33"
"34514","1727711","ASP.NET","1","0","23"
"34514","1727711","Ignored","2","0","0"
"45135","1728149","JSON","371","0","626129"
"45135","1728149","Python","5636","17882","394592"
"45135","1728149","PHP","1531","152646","287869"
"45135","1728149","JavaScript","699","71859","239186"
"45135","1728149","TypeScript","2104","18048","184445"
"45135","1728149","YAML","4759","5602","122136"
"45135","1728149","CSS","302","15689","117008"
"45135","1728149","CSV","19","0","63194"
"45135","1728149","HTML","625","318","35891"
"45135","1728149","Sass","394","994","33772"
"45135","1728149","Vue","263","863","24617"
"45135","1728149","Markdown","101","0","4935"
"45135","1728149","XML","4","35","4605"
"45135","1728149","Text","105","0","4575"
"45135","1728149","Shell Script","88","322","1199"
"45135","1728149","Rust","9","70","950"
"45135","1728149","Lua","5","87","81"
"45135","1728149","ECMAScript Module","2","5","32"
"45135","1728149","Ruby","4","0","24"
"45135","1728149","Properties","1","0","4"
"45135","1728149","Ignored","323","0","0"
"43631","1535506","JSON","4","0","9335"
"43631","1535506","TypeScript","45","4","2860"
"43631","1535506","CSS","2","0","184"
"43631","1535506","YAML","2","0","42"
"43631","1535506","Markdown","1","0","27"
"43631","1535506","Ignored","7","0","0"
"29789","1727510",".Net Resource File","4","192","10183"
"29789","1727510","C#","36","307","4591"
"29789","1727510",".Net Project File","3","7","453"
"29789","1727510","ASP.NET","3","0","65"
"29789","1727510",".Net Solution File","1","0","41"
"29789","1727510","Ignored","8","0","0"
"35227","1727680","ASP.NET","87","0","1396788"
"35227","1727680","XML","29","29","111105"
"35227","1727680","C#","1004","17706","97694"
"35227","1727680",".Net Resource File","67","3215","33235"
"35227","1727680",".Net Project File","143","792","13680"
"35227","1727680",".Net Solution File","61","0","2849"
"35227","1727680","CSS","2","14","2327"
"35227","1727680","DOS Batch","64","0","729"
"35227","1727680","HTML","2","1","719"
"35227","1727680","Text","14","0","420"
"35227","1727680","VB","5","64","370"
"35227","1727680","PowerShell","1","12","76"
"35227","1727680","Wix Project File","1","8","47"
"35227","1727680","Markdown","3","0","25"
"35227","1727680","Shell Script","1","3","14"
"35227","1727680","JSON","2","0","9"
"35227","1727680","Ignored","104","0","0"
"36887","1727896","JSON","608","0","294002"
"36887","1727896","Kotlin","3373","6103","258683"
"36887","1727896","TypeScript","2451","9767","243423"
"36887","1727896","Vue","708","344","92550"
"36887","1727896","YAML","12","9","32748"
"36887","1727896","Swift","71","9035","22246"
"36887","1727896","Sass","224","421","19764"
"36887","1727896","SQL","197","585","4050"
"36887","1727896","JavaScript","99","227","2940"
"36887","1727896","Markdown","40","0","1708"
"36887","1727896","HTML","60","12","907"
"36887","1727896","Java","12","104","503"
"36887","1727896","Groovy","4","182","456"
"36887","1727896","XML","16","24","309"
"36887","1727896","Shell Script","33","20","282"
"36887","1727896","Go","2","1","282"
"36887","1727896","DOS Batch","2","0","138"
"36887","1727896","Objective C++","1","6","117"
"36887","1727896","C++","4","17","108"
"36887","1727896","Properties","4","0","76"
"36887","1727896","Objective C","4","0","73"
"36887","1727896","C","5","6","67"
"36887","1727896","Text","10","0","41"
"36887","1727896","Python","1","4","26"
"36887","1727896","Ignored","466","0","0"
"45407","1727609","Python","63","946","8398"
"45407","1727609","CSV","2","0","880"
"45407","1727609","JSON","4","0","466"
"45407","1727609","HTML","4","1","226"
"45407","1727609","Text","2","0","166"
"45407","1727609","CSS","1","4","112"
"45407","1727609","JavaScript","1","16","72"
"45407","1727609","Markdown","1","0","16"
"39818","1727484","Java","5420","525696","1155274"
"39818","1727484","JavaServer Pages","2455","15311","418453"
"39818","1727484","XML","801","4917","230348"
"39818","1727484","Properties","182","0","210753"
"39818","1727484","JavaScript","1117","31086","159232"
"39818","1727484","CSS","211","2010","44719"
"39818","1727484","Markdown","816","0","44275"
"39818","1727484","HTML","216","9957","30399"
"39818","1727484","DTD","115","30054","9716"
"39818","1727484","JSON","177","0","3402"
"39818","1727484","C","19","535","2288"
"39818","1727484","SQL","37","212","2009"
"39818","1727484","YAML","52","133","678"
"39818","1727484","Text","74","0","396"
"39818","1727484","Shell Script","30","330","278"
"39818","1727484","Apex","21","0","234"
"39818","1727484","PHP","2","24","174"
"39818","1727484","XSL","1","0","62"
"39818","1727484","Ignored","29917","0","0"
"32583","1728092","C#","121","931","9946"
