"project_id","job_id","authors","active_authors","entities","commits"
"38107","1038136","67","8","1208","1235"
"34582","848791","2","1","11","25"
"34768","858908","18","1","78","220"
"34542","845754","18","1","78","220"
"36372","915191","2","1","103","39"
"42315","1390872","2","1","103","39"
"37555","994279","26","1","311","274"
"36097","900179","3","2","369","116"
"34490","841161","414","53","6286","4873"
"39528","1148852","1","1","12","12"
"35345","875761","57","1","177","215"
"37114","963057","1","1","135","21"
"40178","1205904","2","1","103","39"
"38060","1034815","1","1","15","2"
"33304","773257","1125","198","13009","8788"
"34190","823086","2","1","62","89"
"32025","1568020","103","2","1201","1679"
"37709","1004336","2","1","103","39"
"36251","908281","2","1","103","39"
"37888","1021682","1","1","864","2"
"35397","880813","1","1","7","16"
"38371","1057809","116","11","17851","17446"
"36565","928156","2","1","11","25"
"34529","842930","1","1","45","1"
"40352","1222831","2","1","103","39"
"41540","1300195","2","1","11","25"
"34498","842102","18","1","78","220"
"37089","961715","2","1","103","39"
"35683","1038021","1","1","2","4"
"38101","1037870","2","1","103","39"
"34075","815643","2","1","22","34"
"37685","1002449","2","1","103","39"
"41666","1312444","2","1","11","25"
"34799","862565","2","2","139","459"
"41814","1329698","2","1","103","39"
"33512","789132","39","1","2834","1107"
"34731","856273","2","1","103","39"
"5344","1797725","2","1","533","2591"
"36168","903562","57","6","556","316"
"37783","1011898","135","1","1070","1410"
"43095","1471623","2246","198","68922","86923"
"37012","956846","1","1","178","19"
"33803","802838","1","1","76","122"
"33837","803644","1","1","27","4"
"40225","1210106","2","1","103","39"
"36063","898609","2","1","103","39"
"36675","935021","3","3","4630","548"
"39566","1153299","2","1","103","39"
"5050","1175921","8","1","1226","1313"
"41068","1267845","87","2","6813","18671"
"35283","873823","2","1","103","39"
"33971","809758","1","1","104","161"
"34092","816038","67","9","145","637"
"39347","1132782","27","6","1191","1407"
"34413","836950","1","1","4","9"
"30242","1799621","1","1","2","1"
"40670","1240633","1","1","1","1"
"31851","1019756","1353","43","44156","115427"
"36502","922017","3","1","350","459"
"40883","1262808","761","66","5705","10388"
